,Change or add categories by updating the Expenses and Income tables in the Summary sheet.,,,,,,,,
,Expenses,,,,,Income,,,
,,,,,,,,,
,Date,Amount,Description,Category,Running remaining budget,Date,Amount,Description,Category
,12/8/2000,$100.00,Rent,Utilities,+$50,12/8/2000,"$1,500.00",Paycheck,Paycheck
,,"$5,007.00",,Gifts,"-$4,507",,,,
,,$350.00,,Utilities,+$50,,,,
,,$3.00,,Transportation,-$3,,,,
,,,,,#N/A,,,,
,,,,,#N/A,,,,
,,,,,#N/A,,,,
,,,,,#N/A,,,,
,,,,,#N/A,,,,
,,,,,#N/A,,,,
,,,,,#N/A,,,,
,,,,,#N/A,,,,
,,,,,#N/A,,,,
,,,,,#N/A,,,,
,,,,,#N/A,,,,
